path text_newlines text_wcwords text_chars text_bytes
/nird/home/nikolare/hplt/public/two/annotated/archivebot/kas_Arab/1.jsonl.zst      73    1298  134833  136701
/nird/home/nikolare/hplt/public/two/annotated/cc19/lim_Latn/1.jsonl.zst 3016897 16388179 104638425 105929991
/nird/home/nikolare/hplt/public/two/annotated/cc19/vec_Latn/1.jsonl.zst 2295438 11053960 69783616 70802386
/nird/home/nikolare/hplt/public/two/annotated/cc19/scn_Latn/1.jsonl.zst  553652 2895829 18944196 19444082
/nird/home/nikolare/hplt/public/two/annotated/archivebot/mai_Deva/1.jsonl.zst    2145   19822  113550  274398
/nird/home/nikolare/hplt/public/two/annotated/archivebot/mni_Beng/1.jsonl.zst     444    5001   77094  151169
/nird/home/nikolare/hplt/public/two/annotated/cc19/guj_Gujr/1.jsonl.zst  378276 7552125 44344370 109112361
/nird/home/nikolare/hplt/public/two/annotated/archivebot/tso_Latn/1.jsonl.zst   13399  239597 1152616 1161607
/nird/home/nikolare/hplt/public/two/annotated/archivebot/oci_Latn/1.jsonl.zst  136841  795453 4926957 5073796
/nird/home/nikolare/hplt/public/two/annotated/wide12/rus_Cyrl/6.jsonl.zst 1156397 13362209 95548186 165474249
/nird/home/nikolare/hplt/public/two/annotated/archivebot/ory_Orya/1.jsonl.zst    4605   69807  462926 1006804
/nird/home/nikolare/hplt/public/two/annotated/cc19/ceb_Latn/1.jsonl.zst  530215 5054915 29824884 29915194
/nird/home/nikolare/hplt/public/two/annotated/archivebot/bod_Tibt/1.jsonl.zst    3712   23092  753673 2181975
/nird/home/nikolare/hplt/public/two/annotated/archivebot/ibo_Latn/1.jsonl.zst  276659 1239005 9798707 10161835
/nird/home/nikolare/hplt/public/two/annotated/archivebot/knc_Latn/1.jsonl.zst    4813  505882 3936522 3939026
/nird/home/nikolare/hplt/public/two/annotated/wide12/hau_Latn/1.jsonl.zst 3982573 24929336 151706337 153728140
/nird/home/nikolare/hplt/public/two/annotated/wide12/ilo_Latn/1.jsonl.zst 3550895 16286621 129779660 130628128
/nird/home/nikolare/hplt/public/two/annotated/wide12/ace_Latn/1.jsonl.zst 4752750 18625233 144611036 150230984
/nird/home/nikolare/hplt/public/two/annotated/cc19/kan_Knda/1.jsonl.zst  425241 7046040 56225287 144328102
/nird/home/nikolare/hplt/public/two/annotated/archivebot/lij_Latn/1.jsonl.zst  178039 4902385 27446640 28366158
/nird/home/nikolare/hplt/public/two/annotated/cc19/khm_Khmr/1.jsonl.zst  246304 2010573 35330899 97164365
/nird/home/nikolare/hplt/public/two/annotated/archivebot/dik_Latn/1.jsonl.zst   12245   63900  428960  619567
/nird/home/nikolare/hplt/public/two/annotated/wide12/ydd_Hebr/1.jsonl.zst  743208 12859353 78849150 135358799
/nird/home/nikolare/hplt/public/two/annotated/archivebot/azj_Latn/1.jsonl.zst  315390 3325218 25558823 28784980
